"","X","address","city_or_county","date","incident_url","latitude","longitude","n_injured","n_killed"
"3723",3552,"","Sunflower","2016-09-22","http://www.gunviolencearchive.org/incident/661136",31.374,-88.0091,1,0
"3724",3559,"800 block of Ann Street","Montgomery","2016-09-22","http://www.gunviolencearchive.org/incident/661884",32.3713,-86.271,0,0
"3725",3560,"7th Avenue Southwest","Decatur","2016-09-22","http://www.gunviolencearchive.org/incident/661887",34.5928,-86.997,1,0
"3726",3640,"3820 1st Ave.","Tuscaloosa","2016-09-22","http://www.gunviolencearchive.org/incident/661547",33.1728,-87.5366,1,0
"3727",3657,"Jefferson Boulevard and Alabama 79","Birmingham (Tarrant)","2016-09-22","http://www.gunviolencearchive.org/incident/660666",33.5677,-86.7838,0,0
"3728",3663,"4900 block of 2nd Street East","Tuscaloosa","2016-09-22","http://www.gunviolencearchive.org/incident/661467",33.2139,-87.4734,1,0
"3729",3688,"3069 Allison-Bonnett Memorial Drive","Bessemer (Hueytown)","2016-09-23","http://www.gunviolencearchive.org/incident/663062",33.4508,-86.9805,1,0
"3730",3747,"South Street","Mobile (county)","2016-09-23","http://www.gunviolencearchive.org/incident/663056",30.6819,-88.0877,0,1
"3731",3758,"E D Nixon Avenue and Stuart Street","Montgomery","2016-09-23","http://www.gunviolencearchive.org/incident/661882",32.3484,-86.3123,1,0
"3732",3776,"300 block of Elm Street at Constantine Homes","Anniston","2016-09-23","http://www.gunviolencearchive.org/incident/662827",33.6874,-85.8403,0,1
"3733",3791,"1300 block of 3rd Avenue North","Birmingham","2016-09-23","http://www.gunviolencearchive.org/incident/661460",NA,NA,0,1
"3734",3806,"3640 Lloyd Nolan Parkway","Fairfield","2016-09-23","http://www.gunviolencearchive.org/incident/661473",33.4979,-86.9092,0,2
"3735",3886,"4900 Meridian Street North","Huntsville","2016-09-24","http://www.gunviolencearchive.org/incident/663900",34.7937,-86.5715,0,0
"3736",3906,"Pineview and Taylor Street","Montgomery","2016-09-24","http://www.gunviolencearchive.org/incident/662434",32.391,-86.2806,3,0
"3737",3910,"600 block of Clinton Street","Montgomery","2016-09-24","http://www.gunviolencearchive.org/incident/663065",32.3603,-86.3168,0,1
"3738",4027,"Joppa Ct. and Georgia Rd.","Birmingham","2016-09-25","http://www.gunviolencearchive.org/incident/662837",33.5405,-86.7237,0,1
"3739",4028,"2nd Avenue and 43rd Street South","Birmingham","2016-09-25","http://www.gunviolencearchive.org/incident/662842",33.5267,-86.7701,1,0
"3740",4029,"20462 Huntsville Brownsferry Rd","Tanner","2016-09-25","http://www.gunviolencearchive.org/incident/664840",34.7311,-86.9575,0,0
"3741",4030,"1200 block of 28th Street North","Birmingham","2016-09-25","http://www.gunviolencearchive.org/incident/662846",33.5323,-86.8033,1,0
"3742",4067,"","Calera","2016-09-25","http://www.gunviolencearchive.org/incident/817628",33.1092,-86.7499,0,0
"3743",4123,"3100 block of Avenue Q","Birmingham","2016-09-25","http://www.gunviolencearchive.org/incident/662832",33.4983,-86.8874,0,1
"3744",4125,"400 block of W. Inez Road","Dothan","2016-09-25","http://www.gunviolencearchive.org/incident/664841",31.1773,-85.4058,0,0
"3745",4126,"1833 Pinson Valley Pkwy","Birmingham","2016-09-25","http://www.gunviolencearchive.org/incident/670526",33.5858,-86.77,0,0
